uniprot_accession	gene_symbol	mitocarta_status	mitocarta_compartment	mitocarta_is_matrix	mitocarta_is_im	mitocarta_is_ims	mitocarta_is_om	has_transit_peptide	transit_peptide_start	transit_peptide_end	transit_peptide_note	has_signal_peptide	signal_peptide_start	signal_peptide_end	uniprot_subcellular	is_hsp60_substrate	is_in_mito_proteome	targeting_classification
A6NK58	LIPT2	MitoCarta	Matrix	True	False	False	False	True	1.0	31.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:28628643, ECO:0000269|PubMed:28757203}.	False	True	High-confidence matrix
A6NNL5	C15orf61	MitoCarta	Matrix	True	False	False	False	False				True	1.0	26.0	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	False	True	Probable matrix
A8MSI8	LYRM9	MitoCarta	unknown	False	False	False	False	False				False				False	True	Mitochondrial (other/unspecified)
A8MUP2	CSKMT	MitoCarta	Matrix	True	False	False	False	True	1.0	28.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25023281, ECO:0000269|PubMed:28887308}.	False	True	High-confidence matrix
A8MXV4	NUDT19	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Peroxisome {ECO:0000250|UniProtKB:P11930}.	True	True	Non-canonical matrix import
B4DEF8	MRPL45	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|ARBA:ARBA00004173}.	False	True	Non-canonical matrix import
B4DJ38	ATP5MF-PTCD1	MitoCarta	unknown	False	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305}.	False	True	Mitochondrial (other/unspecified)
G3V325	ATP5J2-PTCD1	Not in MitoCarta		False	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305}.	True	False	Non-mitochondrial / no targeting signal
H0UI37	TSTD3	MitoCarta	unknown	False	False	False	False	False				False				False	True	Mitochondrial (other/unspecified)
O00142	TK2	MitoCarta	Matrix	True	False	False	False	True	1.0	33.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:9989599}.	False	True	High-confidence matrix
O00154	ACOT7	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 5]: Mitochondrion {ECO:0000269|PubMed:12435388}.	False	True	Non-canonical matrix import
O00217	NDUFS8	MitoCarta	MIM	False	True	False	False	True	1.0	34.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891, ECO:0000305|PubMed:9666055}; Peripheral membrane protein {ECO:0000250|UniProtKB:P42028}; Matrix side {ECO:0000250|UniProtKB:P42028}.	False	True	Inner membrane (MIM)
O00330	PDHX	MitoCarta	Matrix	True	False	False	False	True	1.0	53.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion matrix.	True	True	High-confidence matrix
O00408	PDE2A	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: [Isoform PDE2A3]: Cell membrane {ECO:0000269|PubMed:19632989, ECO:0000269|PubMed:28463107}; Lipid-anchor {ECO:0000269|PubMed:19632989}.; SUBCELLULAR LOCATION: [Isoform PDE2A2]: Mitochondrion matrix {ECO:0000250|UniProtKB:Q922S4}. Mitochondrion inner membrane {ECO:0000269|PubMed:28463107}. Mitochondrion outer membrane {ECO:0000269|PubMed:28463107}.; SUBCELLULAR LOCATION: [Isoform PDE2A1]: Cytoplasm {ECO:0000269|PubMed:19632989, ECO:0000269|PubMed:28463107}.; SUBCELLULAR LOCATION: [Isoform 5]: Mitochondrion {ECO:0000305}.	False	True	Inner membrane (MIM)
O00411	POLRMT	MitoCarta	Matrix	True	False	False	False	True	1.0	41.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:23283301, ECO:0000269|PubMed:29445193}.	True	True	High-confidence matrix
O00429	DNM1L	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:11514614, ECO:0000269|PubMed:12618434, ECO:0000269|PubMed:9786947}. Golgi apparatus {ECO:0000269|PubMed:20688057, ECO:0000269|PubMed:9348079, ECO:0000269|PubMed:9570752}. Endomembrane system {ECO:0000269|PubMed:11514614, ECO:0000269|PubMed:9348079, ECO:0000269|PubMed:9472031, ECO:0000269|PubMed:9570752}; Peripheral membrane protein. Mitochondrion outer membrane {ECO:0000269|PubMed:26122121, ECO:0000269|PubMed:27145208, ECO:0000269|PubMed:27145933, ECO:0000269|PubMed:28969390}; Peripheral membrane protein. Peroxisome {ECO:0000269|PubMed:12499366, ECO:0000269|PubMed:12618434}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:O35303}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:O35303}. Note=Mainly cytosolic. Recruited by RALA and RALBP1 to mitochondrion during mitosis (PubMed:21822277). Translocated to the mitochondrial membrane through O-GlcNAcylation and interaction with FIS1. Colocalized with MARCHF5 at mitochondrial membrane (PubMed:17606867). Localizes to mitochondria at sites of division (PubMed:15208300). Localizes to mitochondria following necrosis induction. Recruited to the mitochondrial outer membrane by interaction with MIEF1. Mitochondrial recruitment is inhibited by C11orf65/MFI (By similarity). Associated with peroxisomal membranes, partly recruited there by PEX11B. May also be associated with endoplasmic reticulum tubules and cytoplasmic vesicles and found to be perinuclear (PubMed:9422767, PubMed:9570752). In some cell types, localizes to the Golgi complex (By similarity). Binds to phospholipid membranes (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q8K1M6, ECO:0000269|PubMed:15208300, ECO:0000269|PubMed:17606867, ECO:0000269|PubMed:21822277, ECO:0000269|PubMed:9422767, ECO:0000269|PubMed:9570752}.	False	True	Outer membrane (MOM)
O00483	NDUFA4	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:23746447, ECO:0000269|PubMed:30030519}; Single-pass membrane protein {ECO:0000269|PubMed:30030519}.	True	True	Inner membrane (MIM)
O00746	NME4	MitoCarta	MIM	False	True	False	False	True	1.0	28.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:10799505, ECO:0000269|PubMed:18635542, ECO:0000305|PubMed:23150663}; Peripheral membrane protein. Mitochondrion matrix {ECO:0000269|PubMed:10799505, ECO:0000305|PubMed:18635542}. Mitochondrion outer membrane {ECO:0000269|PubMed:10799505, ECO:0000305|PubMed:23150663}. Note=Predominantly localized in the mitochondrion intermembrane space (PubMed:18635542). Colocalizes with OPA1 in mitochondria (Probable) (PubMed:24970086). Phospholipid binding mediates mitochondrial inner membrane binding (Probable) (PubMed:18635542). Fully membrane-bound, when attached simultaneously to inner membrane (IM) and outer membrane (OM) through the formation of contact sites between IM and OM (Probable) (PubMed:17028143). The additional binding to OM may depend on the availability or accessibility of cardiolipin and/or other anionic phospholipids in the IM outer leaflet and the OM inner leaflet (Probable). {ECO:0000269|PubMed:17028143, ECO:0000269|PubMed:18635542, ECO:0000269|PubMed:24970086, ECO:0000305|PubMed:23150663}.	True	True	Inner membrane (MIM)
O00763	ACACB	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10677481}.	False	True	Outer membrane (MOM)
O14521	SDHD	MitoCarta	MIM	False	True	False	False	True	1.0	56.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:37098072, ECO:0000269|PubMed:9533030}; Multi-pass membrane protein {ECO:0000255}.	False	True	Inner membrane (MIM)
O14548	COX7A2L	MitoCarta	MIM	False	True	False	False	True	1.0	55.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:27545886}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q99KD6}.	True	True	Inner membrane (MIM)
O14561	NDUFAB1	MitoCarta	MIM	False	True	False	False	True	1.0	68.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:28892042}.	False	True	Inner membrane (MIM)
O14832	PHYH	MitoCarta	Matrix	True	False	False	False	True	1.0	30.0	Peroxisome	False			SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:9326939}.	False	True	High-confidence matrix
O14874	BCKDK	MitoCarta	Matrix	True	False	False	False	True	1.0	30.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q00972, ECO:0000305|PubMed:24449431}. Note=Detected in the cytosolic compartment of liver cells. {ECO:0000250|UniProtKB:Q00972}.	True	True	High-confidence matrix
O14880	MGST3	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:27184847}; Multi-pass membrane protein {ECO:0000255}.	False	True	Outer membrane (MOM)
O14925	TIMM23	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:25997101}; Multi-pass membrane protein {ECO:0000255}.	False	True	Inner membrane (MIM)
O14949	UQCRQ	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P08525}; Single-pass membrane protein {ECO:0000250|UniProtKB:P08525}.	False	True	Inner membrane (MIM)
O14957	UQCR11	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P37299}; Single-pass membrane protein {ECO:0000250|UniProtKB:P37299}.	False	True	Inner membrane (MIM)
O15091	KIAA0391	MitoCarta	Matrix	True	False	False	False	True	1.0	45.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18984158}.	True	True	High-confidence matrix
O15229	KMO	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000255|HAMAP-Rule:MF_03018, ECO:0000269|PubMed:9237672}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03018, ECO:0000269|PubMed:9237672}.	False	True	Outer membrane (MOM)
O15235	MRPS12	MitoCarta	Matrix	True	False	False	False	True	1.0	29.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.	True	True	High-confidence matrix
O15239	NDUFA1	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000255}; Matrix side {ECO:0000305}.	False	True	Inner membrane (MIM)
O15270	SPTLC2	MitoCarta	Membrane	False	True	False	False	False				False			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P97363}; Single-pass membrane protein {ECO:0000250|UniProtKB:P97363}.	False	True	Inner membrane (MIM)
O15382	BCAT2	MitoCarta	Matrix	True	False	False	False	True	1.0	27.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:O35854}.	True	True	High-confidence matrix
O15527	OGG1	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:17148573}. Nucleus speckle {ECO:0000269|PubMed:17148573}. Nucleus matrix {ECO:0000269|PubMed:17148573}. Note=Together with APEX1 is recruited to nuclear speckles in UVA-irradiated cells.; SUBCELLULAR LOCATION: [Isoform 1A]: Nucleus.; SUBCELLULAR LOCATION: [Isoform 2A]: Mitochondrion.	False	True	Non-canonical matrix import
O15528	CYP27B1	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion membrane.	False	True	Inner membrane (MIM)
O43169	CYB5B	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P04166}.	False	True	Outer membrane (MOM)
O43181	NDUFS4	MitoCarta	MIM	False	True	False	False	True	1.0	42.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11181577, ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:31206022}; Peripheral membrane protein {ECO:0000269|PubMed:12611891}; Matrix side {ECO:0000269|PubMed:12611891}. Note=The interaction with BCAP31 mediates mitochondria localization. {ECO:0000269|PubMed:31206022}.	True	True	Inner membrane (MIM)
O43236	SEPTIN4	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P28661}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:25588830, ECO:0000269|PubMed:36135717}. Cytoplasmic vesicle, secretory vesicle {ECO:0000269|PubMed:15116257}. Cell projection, axon {ECO:0000250|UniProtKB:P28661}. Cell projection, dendrite {ECO:0000250|UniProtKB:P28661}. Perikaryon {ECO:0000250|UniProtKB:P28661}. Synapse {ECO:0000269|PubMed:17296554}. Note=In platelets, found in areas surrounding alpha-granules (PubMed:15116257). Found in the sperm annulus, a fibrous ring structure connecting the midpiece and the principal piece of the sperm flagellum (PubMed:25588830, PubMed:36135717). Expressed and colocalized with SLC6A3 and SNCA in axon terminals, especially at the varicosities (By similarity). {ECO:0000250|UniProtKB:P28661, ECO:0000269|PubMed:15116257, ECO:0000269|PubMed:25588830, ECO:0000269|PubMed:36135717}.; SUBCELLULAR LOCATION: [Isoform ARTS]: Mitochondrion {ECO:0000269|PubMed:11146656, ECO:0000269|PubMed:15029247, ECO:0000269|PubMed:21695558}. Nucleus {ECO:0000269|PubMed:11146656, ECO:0000269|PubMed:15029247}. Note=While predominantly localized in the mitochondria under resting conditions, translocates into the nucleus after TGF-beta treatment and apoptosis induction. {ECO:0000269|PubMed:11146656}.	False	True	Outer membrane (MOM)
O43272	PRODH	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion matrix.	False	True	Inner membrane (MIM)
O43325	LYRM1	MitoCarta	unknown	False	False	False	False	False				False			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19022914}.	False	True	Mitochondrial (other/unspecified)
O43464	HTRA2	MitoCarta	MIM	False	True	False	False	True	1.0	31.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion intermembrane space. Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Predominantly present in the intermembrane space. Released into the cytosol following apoptotic stimuli, such as UV treatment, and stimulation of mitochondria with caspase-8 truncated BID/tBID.; SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum {ECO:0000269|PubMed:10644717}.	False	True	Inner membrane (MIM)
O43488	AKR7A2	MitoCarta	Matrix	True	False	False	False	True	1.0	38.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255}. Golgi apparatus {ECO:0000250|UniProtKB:Q8CG45}. Cytoplasm {ECO:0000269|PubMed:9576847}.	True	True	High-confidence matrix
O43521	BCL2L11	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Associated with intracytoplasmic membranes. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform BimEL]: Mitochondrion. Note=Translocates from microtubules to mitochondria on loss of cell adherence.; SUBCELLULAR LOCATION: [Isoform BimL]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform BimS]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform Bim-alpha1]: Mitochondrion.	False	True	Outer membrane (MOM)
O43572	AKAP10	MitoCarta	MOM	False	False	False	True	True	1.0	28.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11248059}. Membrane {ECO:0000269|PubMed:11248059}. Cytoplasm {ECO:0000269|PubMed:11248059}. Note=Predominantly mitochondrial but also membrane associated and cytoplasmic.	False	True	Outer membrane (MOM)
O43615	TIMM44	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10339406}; Peripheral membrane protein {ECO:0000269|PubMed:10339406}; Matrix side {ECO:0000269|PubMed:10339406}. Mitochondrion matrix {ECO:0000269|PubMed:10339406}.	True	True	Inner membrane (MIM)
O43674	NDUFB5	MitoCarta	MIM	False	True	False	False	True	1.0	46.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.	False	True	Inner membrane (MIM)
O43676	NDUFB3	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.	False	True	Inner membrane (MIM)
O43677	NDUFC1	MitoCarta	MIM	False	True	False	False	True	1.0	27.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q02376}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q02376}; Matrix side {ECO:0000250|UniProtKB:Q02376}.	False	True	Inner membrane (MIM)
O43678	NDUFA2	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.	True	True	Inner membrane (MIM)
O43708	GSTZ1	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	False	True	Non-canonical matrix import
O43715	TRIAP1	MitoCarta	IMS	False	False	True	False	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:15735003, ECO:0000269|PubMed:23931759}. Mitochondrion intermembrane space {ECO:0000269|PubMed:23931759}.	False	True	Intermembrane space (IMS)
O43716	GATC	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03149, ECO:0000269|PubMed:19805282}.	False	True	Non-canonical matrix import
O43766	LIAS	MitoCarta	Matrix	True	False	False	False	True	1.0	27.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03123}.	False	True	High-confidence matrix
O43772	SLC25A20	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.	False	True	Inner membrane (MIM)
O43819	SCO2	MitoCarta	MIM	False	True	False	False	True	1.0	41.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:15229189, ECO:0000269|PubMed:35750769}; Single-pass membrane protein {ECO:0000255}.	False	True	Inner membrane (MIM)
O43824	GTPBP6	MitoCarta	Matrix	True	False	False	False	False				False				False	True	Non-canonical matrix import
O43837	IDH3B	MitoCarta	Matrix	True	False	False	False	True	1.0	34.0	Mitochondrion	False			SUBCELLULAR LOCATION: Mitochondrion.	False	True	High-confidence matrix
O43847	NRDC	MitoCarta	Matrix	True	False	False	False	False				True	1.0	20.0	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:28017472}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q8BHG1}.	False	True	Probable matrix
O43865	AHCYL1	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:27995898, ECO:0000269|PubMed:28647132}. Cytoplasm, cytosol {ECO:0000269|PubMed:27995898}. Apical cell membrane {ECO:0000250|UniProtKB:B5DFN2}; Peripheral membrane protein {ECO:0000305}. Microsome {ECO:0000250|UniProtKB:Q80SW1}. Note=Associates with membranes when phosphorylated, probably through interaction with ITPR1 (By similarity). Localizes to mitochondria-associated endoplasmic reticulum membranes (MAMs) (PubMed:27995898). Localization to MAMs is greatly reduced under apoptotic stress conditions (PubMed:27995898). {ECO:0000250|UniProtKB:Q80SW1, ECO:0000269|PubMed:27995898}.	False	True	Outer membrane (MOM)
O43920	NDUFS5	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}. Mitochondrion intermembrane space {ECO:0000305}.	False	True	Inner membrane (MIM)
O60218	AKR1B10	MitoCarta	unknown	False	False	False	False	False				False			SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:21585341}. Secreted {ECO:0000269|PubMed:21585341}. Note=Secreted through a lysosome-mediated non-classical pathway.	False	True	Mitochondrial (other/unspecified)
O60220	TIMM8A	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11489896}; Peripheral membrane protein {ECO:0000269|PubMed:11489896}; Intermembrane side {ECO:0000269|PubMed:11489896}.	False	True	Inner membrane (MIM)
O60238	BNIP3L	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Nucleus envelope. Endoplasmic reticulum. Mitochondrion outer membrane. Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Colocalizes with SPATA18 at the mitochondrion outer membrane.	False	True	Outer membrane (MOM)
O60260	PRKN	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10319893, ECO:0000269|PubMed:16955485, ECO:0000269|PubMed:17846173, ECO:0000269|PubMed:18957282, ECO:0000269|PubMed:19029340, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:19501131, ECO:0000269|PubMed:22082830, ECO:0000269|PubMed:23620051, ECO:0000269|PubMed:23933751, ECO:0000269|PubMed:24898855}. Nucleus {ECO:0000269|PubMed:16955485}. Endoplasmic reticulum {ECO:0000269|PubMed:19501131}. Mitochondrion {ECO:0000269|PubMed:18957282, ECO:0000269|PubMed:19029340, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:20889974, ECO:0000269|PubMed:22082830, ECO:0000269|PubMed:23620051, ECO:0000269|PubMed:23754282, ECO:0000269|PubMed:23933751, ECO:0000269|PubMed:24898855}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q9WVS6}. Cell projection, neuron projection {ECO:0000269|PubMed:12925569}. Postsynaptic density {ECO:0000250|UniProtKB:Q9WVS6}. Presynapse {ECO:0000250|UniProtKB:Q9WVS6}. Note=Mainly localizes in the cytosol (PubMed:19029340, PubMed:19229105). Co-localizes with SYT11 in neutrites (PubMed:12925569). Co-localizes with SNCAIP in brainstem Lewy bodies (PubMed:10319893, PubMed:11431533). Translocates to dysfunctional mitochondria that have lost the mitochondrial membrane potential; recruitment to mitochondria is PINK1-dependent (PubMed:18957282, PubMed:19966284, PubMed:23620051, PubMed:24898855). Mitochondrial localization also gradually increases with cellular growth (PubMed:22082830). {ECO:0000269|PubMed:10319893, ECO:0000269|PubMed:11431533, ECO:0000269|PubMed:12925569, ECO:0000269|PubMed:18957282, ECO:0000269|PubMed:19029340, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:19966284, ECO:0000269|PubMed:22082830, ECO:0000269|PubMed:23620051, ECO:0000269|PubMed:24898855}.	False	True	Outer membrane (MOM)
O60313	OPA1	MitoCarta	MIM	False	True	False	False	True	1.0	87.0	Mitochondrion	False			SUBCELLULAR LOCATION: [Dynamin-like GTPase OPA1, long form]: Mitochondrion inner membrane {ECO:0000269|PubMed:11017079, ECO:0000269|PubMed:16778770, ECO:0000269|PubMed:20974897, ECO:0000269|PubMed:28746876, ECO:0000269|PubMed:37612504, ECO:0000269|PubMed:37612506}; Single-pass membrane protein {ECO:0000255}. Note=Detected at contact sites between endoplasmic reticulum and mitochondrion membranes. {ECO:0000269|PubMed:24616225}.; SUBCELLULAR LOCATION: [Dynamin-like GTPase OPA1, short form]: Mitochondrion intermembrane space {ECO:0000269|PubMed:32228866, ECO:0000269|PubMed:37612504, ECO:0000269|PubMed:37612506}.	False	True	Inner membrane (MIM)
O60783	MRPS14	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.	False	True	Non-canonical matrix import
O60830	TIMM17B	MitoCarta	MIM	False	True	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.	False	True	Inner membrane (MIM)
